"ANO_ELEICAO","NUM_TURNO","SIGLA_UE","CODIGO_CARGO","NOME_URNA_CANDIDATO","NUMERO_CANDIDATO"
2012,1,"07471",11,"ABRAHAO",22
2012,1,"07471",11,"IVAN ARAUJO",28
2012,1,"07480",11,"NETO TEIXEIRA",15
2012,1,"07480",11,"CORONEL VENTURA",20
2012,1,"07480",11,"ADAUTO BARATAO",45
2012,1,"07510",11,"MIRIAN ROCHA",15
2012,1,"07510",11,"ZE MARTINHO",25
2012,1,"07579",11,"MUNDICO TEIXEIRA",13
2012,1,"07579",11,"PAULINHO",15
2012,1,"07579",11,"AGOSTINHO NETO",16
2012,1,"07579",11,"DR HELTON",20
2012,1,"07579",11,"LEO COUTINHO",40
2012,1,"07579",11,"HERBERT DETE",50
2012,1,"07633",11,"BINE FIGUEIREDO",12
2012,1,"07633",11,"FRANCISCO NAGIB",22
2012,1,"07633",11,"ZE INACIO",40
2012,1,"07633",11,"ZITO ROLIM",43
2012,1,"07633",11,"PROF CELSO MOREIRA",50
2012,1,"07650",11,"AMERICO SOUSA",13
2012,1,"07650",11,"JARDEL SELES",21
2012,1,"07650",11,"DORALICE SANTANA",33
2012,1,"07650",11,"SOLINEY SILVA",55
2012,1,"07668",11,"INDALECIO",13
2012,1,"07668",11,"DRA REGINA",40
2012,1,"07668",11,"MARCEL CURIO",43
2012,1,"07676",11,"VALMIRA MIRANDA",12
2012,1,"07676",11,"NINA MELO",15
2012,1,"07676",11,"REINALDO SOUSA",22
2012,1,"07676",11,"ANTONIO CARLOS",40
2012,1,"07692",11,"DOMINGOS ALBERTO",13
2012,1,"07692",11,"TERESA MURAD",15
2012,1,"07714",11,"CARLOS HAMILTON",14
2012,1,"07714",11,"JUNIOR FRANCO",15
2012,1,"07714",11,"PROFª ROSINHA",20
2012,1,"07730",11,"DR FABRICIO",10
2012,1,"07730",11,"ARLENE COSTA",55
2012,1,"07730",11,"HERNANDO MACEDO",65
2012,1,"07749",11,"CONSUELO",15
2012,1,"07749",11,"LOURO BENVINDO",65
2012,1,"07773",11,"ALUIZINHO POSTO",14
2012,1,"07773",11,"DR RAIMUNDINHO",70
2012,1,"07781",11,"ZE RICARDO",15
2012,1,"07781",11,"ALDIR CUNHA",22
2012,1,"07854",11,"DR TENORIO",10
2012,1,"07854",11,"TITA SOARES",31
2012,1,"07854",11,"VILSON ANDRADE",65
2012,1,"07870",11,"DRA JESUS",15
2012,1,"07870",11,"VALERIO",70
2012,1,"07897",11,"DALUZ",15
2012,1,"07897",11,"OSTO",22
2012,1,"07978",11,"NEIDE SABOIA",15
2012,1,"07978",11,"VALDEMIR VERDE",17
2012,1,"07978",11,"DECO",33
2012,1,"07994",11,"ZEQUINHA",10
2012,1,"07994",11,"JUAREZINHO",13
2012,1,"07994",11,"WALACE",14
2012,1,"07994",11,"ZEZINHO MATOS",15
2012,1,"07994",11,"PAULO MATOS",23
2012,1,"07994",11,"DUNGA",25
2012,1,"08036",11,"CARLINHOS AMORIM",12
2012,1,"08036",11,"ADALBERTO",13
2012,1,"08036",11,"WILSON LEITE",16
2012,1,"08036",11,"ALUISIO MELO",21
2012,1,"08036",11,"ROSANGELA",25
2012,1,"08036",11,"JUSTINO FILHO",36
2012,1,"08036",11,"KLEBER MIRANDA",40
2012,1,"08036",11,"MADEIRA",45
2012,1,"08036",11,"MAJOR MELO",50
2012,1,"08052",11,"QUINCO",12
2012,1,"08052",11,"DR EMANOEL CARVALHO",15
2012,1,"08052",11,"DR JUNIOR",40
2012,1,"08060",11,"MARIA ROSARIO",23
2012,1,"08060",11,"IRLAN SERRA",36
2012,1,"08060",11,"IOLANDA",43
2012,1,"08079",11,"ROGERIO BAIANO",13
2012,1,"08079",11,"RIBAMAR HONDA",20
2012,1,"08079",11,"PROFESSOR MAGNO",23
2012,1,"08079",11,"DR MIGUEL",25
2012,1,"08087",11,"JOANA AMOVELAR",13
2012,1,"08087",11,"PADRE JOZIAS",15
2012,1,"08087",11,"ANTONIO DECO",31
2012,1,"08095",11,"DR ENOQUE",11
2012,1,"08095",11,"EVILASIO V NOGUEIRA",43
2012,1,"08095",11,"CHICO SOARES",44
2012,1,"08095",11,"JAIRO MADEIRA",45
