"NOME_URNA_CANDIDATO","CODIGO_CARGO","SIGLA_UE","NUMERO_CANDIDATO","NUM_TURNO","ANO_ELEICAO"
"TRAMONTIN",11,"80470",30,1,2020
"DR VINICIUS",11,"41335",18,1,2020
"TIBERIO CESAR",11,"11673",16,1,2020
"LEONARDO BRITO",11,"93572",15,1,2020
"ILSON BAIANO",11,"07650",35,1,2020
"TIAGO DANTAS",11,"07528",25,1,2020
"DR BANDEIRA",11,"00396",40,1,2020
"MAYARA COLZANI",11,"81795",50,1,2020
"MARCELO ACIT",11,"05614",55,1,2020
"GILVANA ZE MARIO",11,"09199",12,1,2020
"DR FRANC",11,"95150",11,1,2020
"DR EDEZIO",11,"23418",11,1,2020
"DELEGADO PAZOLINI",11,"57053",10,1,2020
"FERNANDO ZAFONATO",11,"90620",25,1,2020
"CRISTINA GARVIL",11,"46833",51,1,2020
"ANDRE EDIVALDO",11,"38172",45,1,2020
"AJ ALVES",11,"07579",27,1,2020
"BRUNO DANIEL",11,"70572",50,1,2020
"EZEQUIEL PT",11,"23574",13,1,2020
"DR XAROPINHO",11,"41335",15,1,2020
"ANDERSON FERREIRA",11,"24570",22,1,2020
"ADELCINO",11,"90700",15,1,2020
"BARATAO",11,"91596",18,1,2020
"NETO SUPERMERCADO",11,"07366",14,1,2020
"ROMULO BALDEZ",11,"08915",10,1,2020
"DR AUGUSTO VALADARES",11,"21130",25,1,2020
"JUNIOR LEONIDIA",11,"31275",23,1,2020
"LUCIO BORGES",11,"87777",11,1,2020
"ROGER LINHARES",11,"11096",11,1,2020
"JOAO ALFREDO",11,"91413",50,1,2020
"ALOISIO NASCIMENTO",11,"75043",15,1,2020
"MARIA CARMO GUILHERME",11,"69795",15,1,2020
"MARCIO PATUSSI",11,"87858",12,1,2020
"UADY",11,"16977",45,1,2020
"AMIZADE",11,"04421",15,1,2020
"CESAR LARA DINIZ",11,"51551",65,1,2020
"DR RAUL",11,"62197",25,1,2020
"CICERO FILHO",11,"27855",65,1,2020
"DR MARCIO AURELIO",11,"70718",12,1,2020
"TOM BONFIM",11,"05614",13,1,2020
"FERNANDA MAZELLI",11,"56472",10,1,2020
"DR WEULER",11,"08133",90,1,2020
"FRANGO REI",11,"11096",51,1,2020
"DEHON TRATORES",11,"47635",33,1,2020
"ERONDINO VALERO",11,"07340",25,1,2020
"GENESIO NATIVIDADE",11,"74357",12,1,2020
"MARCIO MESSIAS",11,"39730",55,1,2020
"PROFESSOR KELTON",11,"92029",23,1,2020
"WALERIO RODRIGUES",11,"92878",15,1,2020
"SAULO MILHOMEM",11,"94617",11,1,2020
"CORONEL STANELIS",11,"63118",28,1,2020
"EDNALDO PEIXOTO",11,"23124",40,1,2020
"TITAN",11,"04472",15,1,2020
"ALEXANDRE MARTINS",11,"58408",10,1,2020
"ANDRE APLICATIVO",11,"77453",25,1,2020
"ADRIANO SILVA",11,"81795",30,1,2020
"LEONEL BARROS",11,"12513",55,1,2020
"FELIPE COUTINHO",11,"21490",10,1,2020
"VALERIA GARCIA",11,"00787",11,1,2020
"EVANDRO",11,"09539",13,1,2020
"GERALDO TORNADO",11,"16438",77,1,2020
"HELTON LUIS",11,"13919",12,1,2020
"ROGERIO SANTOS",11,"70718",45,1,2020
"EDMILTON CARNEIRO",11,"35971",45,1,2020
"DOUTOR JOEDE",11,"30910",65,1,2020
"WILTON MAIA",11,"95273",13,1,2020
"TENENTE ALEIXO",11,"39390",27,1,2020
"JONATHAN PAES",11,"58190",35,1,2020
"SAMUEL BRAGA",11,"13897",51,1,2020
"DRA REGINA",11,"07668",77,1,2020
"ZE MARIA",11,"05231",17,1,2020
"ROGERIO CALAZANS",11,"76910",70,1,2020
"PAULO MARIA",11,"95958",19,1,2020
"DR MARCOS",11,"25216",50,1,2020
"RENATINHO",11,"38636",11,1,2020
"FABIO HENRIQUE",11,"31950",12,1,2020
"LEANDRO FOX",11,"92975",17,1,2020
"DELEGADO PAULO MARCIO",11,"31054",27,1,2020
"AMANDA BISPO",11,"66893",80,1,2020
"CIEL",11,"42315",70,1,2020
"GERALDINO JUNIOR",11,"62006",45,1,2020
"DECIO MARMIROLLI",11,"71498",12,1,2020
"LEOMAR PATRICIO",11,"00396",77,1,2020
"JOAOZINHO FELIX",11,"10430",15,1,2020
"JARDEL BOMJARDIM",11,"09610",19,1,2020
"ALEXANDRE MAIA",11,"49573",25,1,2020
"JONAS NOGUEIRA",11,"56235",22,1,2020
"ZE NEGAO",11,"23019",19,1,2020
"DICO",11,"38016",11,1,2020
"KELEN TARCISIO",11,"94498",17,1,2020
"PROFESSOR EDCARLOS",11,"12122",55,1,2020
"MARA VENTURA",11,"62006",25,1,2020
"JOAO NETO",11,"96792",14,1,2020
"FOKA",11,"42315",15,1,2020
"MARQUINHOS ASSAD",11,"56073",19,1,2020
"FERNANDO PELLOZO",11,"92703",55,1,2020
"NEY SANTANA",11,"05355",45,1,2020
"JUNIOR CB",11,"02615",51,1,2020
"GILMAR PEREIRA",11,"42099",11,1,2020
"JUNIOR NOVELLI",11,"50571",40,1,2020
"BARBOSINHA",11,"90735",25,1,2020
"CARLOS",11,"25313",17,1,2020
"DEIVSON SANTOS OLIVEIRA",11,"34290",27,1,2020
"CARLOS MARIUCCI",11,"76910",13,1,2020
"TAVEIRA",11,"17795",10,1,2020
"ANDRE BORGES",11,"93017",17,1,2020
"REGINALDO FOTOGRAFO",11,"91073",27,1,2020
"SAGENTO SILVEIRA",11,"50490",17,1,2020
"DR LINDENBERG",11,"11770",13,1,2020
"BIRA",11,"09210",40,1,2020
"BENTO VIEIRA",11,"07234",19,1,2020
"JANAINA BALLARIS",11,"69213",22,1,2020
"BARROSINHO",11,"07641",20,1,2020
"NEGUINHO",11,"81060",55,1,2020
"JOEL COSTA",11,"56251",17,1,2020
"HIPOLITO",11,"05835",51,1,2020
"FERNANDO ELIOTERIO",11,"47333",65,1,2020
"VALERIA",11,"90530",25,1,2020
"JUIZ LEADOR",11,"92410",13,1,2020
"ANTONIO EMILIO",11,"56774",23,1,2020
"CARLOS ALBERTO (BETO)",11,"17612",43,1,2020
"BETO POSTO",11,"58394",27,1,2020
"JAMES MENDES",11,"07137",65,1,2020
"DR BANDEIRA",11,"90115",45,1,2020
"ADAILSON MACHADO",11,"09598",11,1,2020
"MARCIA SCHERER",11,"87297",15,1,2020
"IVAM NUNES",11,"98051",17,1,2020
"DR GERONIMO",11,"12548",11,1,2020
"DJALMA",11,"39942",11,1,2020
"ROGERINHO",11,"56596",10,1,2020
"NENEM BORGES",11,"18430",15,1,2020
"DR ZE LUIS",11,"10049",40,1,2020
"MILSON SANTANA",11,"96237",20,1,2020
"GILBERTO AROSO",11,"08494",15,1,2020
"DIKA",11,"04464",17,1,2020
"AMARILDO LOVATO",11,"57037",17,1,2020
"WDAGNO SANDRO",11,"16993",45,1,2020
"ALDI BORGES",11,"10049",55,1,2020
"MARCAO MARCHI",11,"65811",55,1,2020
"RAMSES CASTRO",11,"53430",33,1,2020
"BRUNO ENGLER",11,"41238",28,1,2020
"GANDOR HAGE",11,"05193",45,1,2020
"DR OLIVIER",11,"31577",13,1,2020
"ROSI TEIXEIRA",11,"90433",70,1,2020
"DALVA PAIXAO",11,"05231",20,1,2020
"ANALIA",11,"71218",13,1,2020
"LUCIANA SALITURI",11,"64750",51,1,2020
"PROFESSORA SOCORRO",11,"16713",16,1,2020
"BOMBEIRO MARCIO CRUZ",11,"65811",33,1,2020
