UF;ELE_UF;PARTIDO;FILIADOS
PE;6.715.073;REPUBLICANOS;13.442
PE;6.715.073;SOLIDARIEDADE;11.792
PE;6.715.073;UP;243
PI;2.436.810;AVANTE;1.803
PI;2.436.810;CIDADANIA;11.395
PI;2.436.810;DC;1.603
PI;2.436.810;DEM;23.115
PI;2.436.810;MDB;40.535
PI;2.436.810;NOVO;319
PI;2.436.810;PATRIOTA;8.483
PI;2.436.810;PCB;502
PI;2.436.810;PCDOB;11.479
PI;2.436.810;PCO;54
PI;2.436.810;PDT;13.280
PI;2.436.810;PL;12.531
PI;2.436.810;PMB;1.492
PI;2.436.810;PMN;4.182
PI;2.436.810;PODE;4.601
PI;2.436.810;PP;26.755
PI;2.436.810;PROS;1.768
PI;2.436.810;PRTB;4.608
PI;2.436.810;PSB;15.267
PI;2.436.810;PSC;4.052
PI;2.436.810;PSD;12.992
PI;2.436.810;PSDB;23.638
PI;2.436.810;PSL;5.088
PI;2.436.810;PSOL;1.654
PI;2.436.810;PSTU;207
PI;2.436.810;PT;30.280
PI;2.436.810;PTB;24.229
PI;2.436.810;PTC;3.249
PI;2.436.810;PV;5.790
PI;2.436.810;REDE;453
PI;2.436.810;REPUBLICANOS;9.083
PI;2.436.810;SOLIDARIEDADE;5.631
PI;2.436.810;UP;40
PR;7.992.243;AVANTE;7.144
PR;7.992.243;CIDADANIA;32.428
PR;7.992.243;DC;8.715
PR;7.992.243;DEM;65.005
PR;7.992.243;MDB;157.861
PR;7.992.243;NOVO;2.500
PR;7.992.243;PATRIOTA;16.890
PR;7.992.243;PCB;491
PR;7.992.243;PCDOB;9.266
PR;7.992.243;PCO;113
PR;7.992.243;PDT;67.245
PR;7.992.243;PL;48.058
PR;7.992.243;PMB;2.174
PR;7.992.243;PMN;9.892
PR;7.992.243;PODE;28.468
PR;7.992.243;PP;99.512
PR;7.992.243;PROS;10.418
PR;7.992.243;PRTB;7.775
PR;7.992.243;PSB;33.714
PR;7.992.243;PSC;42.719
PR;7.992.243;PSD;36.583
PR;7.992.243;PSDB;77.233
PR;7.992.243;PSL;34.142
PR;7.992.243;PSOL;3.229
PR;7.992.243;PSTU;197
PR;7.992.243;PT;73.433
PR;7.992.243;PTB;60.235
PR;7.992.243;PTC;10.494
PR;7.992.243;PV;28.109
PR;7.992.243;REDE;844
PR;7.992.243;REPUBLICANOS;18.837
PR;7.992.243;SOLIDARIEDADE;9.091
RJ;12.468.896;AVANTE;24.991
RJ;12.468.896;CIDADANIA;21.504
RJ;12.468.896;DC;15.359
RJ;12.468.896;DEM;37.150
RJ;12.468.896;MDB;128.069
RJ;12.468.896;NOVO;3.930
RJ;12.468.896;PATRIOTA;19.298
RJ;12.468.896;PCB;1.244
RJ;12.468.896;PCDOB;29.358
RJ;12.468.896;PCO;349
RJ;12.468.896;PDT;164.036
RJ;12.468.896;PL;52.165
RJ;12.468.896;PMB;6.441
RJ;12.468.896;PMN;20.492
RJ;12.468.896;PODE;33.088
RJ;12.468.896;PP;55.683
RJ;12.468.896;PROS;6.280
RJ;12.468.896;PRTB;10.293
RJ;12.468.896;PSB;40.661
RJ;12.468.896;PSC;25.308
RJ;12.468.896;PSD;8.474
RJ;12.468.896;PSDB;85.274
RJ;12.468.896;PSL;32.847
RJ;12.468.896;PSOL;21.584
RJ;12.468.896;PSTU;1.624
RJ;12.468.896;PT;111.616
RJ;12.468.896;PTB;46.021
RJ;12.468.896;PTC;15.806
RJ;12.468.896;PV;21.255
RJ;12.468.896;REDE;2.440
RJ;12.468.896;REPUBLICANOS;23.248
RJ;12.468.896;SOLIDARIEDADE;10.851
RJ;12.468.896;UP;184
RN;2.430.002;AVANTE;2.795
RN;2.430.002;CIDADANIA;8.170
RN;2.430.002;DC;3.137
RN;2.430.002;DEM;23.525
RN;2.430.002;MDB;36.708
RN;2.430.002;NOVO;351
RN;2.430.002;PATRIOTA;4.083
RN;2.430.002;PCB;148
RN;2.430.002;PCDOB;7.993
RN;2.430.002;PCO;34
RN;2.430.002;PDT;11.197
RN;2.430.002;PL;17.532
RN;2.430.002;PMB;1.358
RN;2.430.002;PMN;6.119
RN;2.430.002;PODE;8.826
RN;2.430.002;PP;19.314
RN;2.430.002;PROS;2.483
RN;2.430.002;PRTB;1.016
RN;2.430.002;PSB;14.288
RN;2.430.002;PSC;5.365
RN;2.430.002;PSD;11.082
RN;2.430.002;PSDB;21.550
RN;2.430.002;PSL;5.194
RN;2.430.002;PSOL;6.317
RN;2.430.002;PSTU;874
RN;2.430.002;PT;14.087
