id,nome,siglaPartido,siglaUf,fundeb,orcamento,previdencia,wilson
178934,Toninho Wandscheer,PROS,PR,Sim,Não,Sim,NA
157130,Túlio Gadêlha,PDT,PE,Sim,Sim,Não,Não
178863,Uldurico Junior,PROS,BA,Sim,Não,Sim,NA
195866,Vaidon Oliveira,PROS,CE,Sim,Não,Sim,Sim
204385,Valdevan Noventa,PL,SE,Não,Não,Não,Sim
74010,VALDIR COLATTO,MDB,SC,NA,NA,NA,NA
160610,Valmir Assunção,PT,BA,Sim,Sim,Não,Sim
141552,Valtenir Pereira,MDB,MT,NA,NA,NA,NA
74376,Vander Loubet,PT,MS,Sim,Sim,Não,Sim
141553,Vanderlei Macris,PSDB,SP,Sim,Não,Sim,Não
204505,Vavá Martins,REPUBLICANOS,PA,Não,Não,Sim,NA
204396,Vermelho,PSD,PR,Não,Não,Sim,Sim
74283,Vicentinho,PT,SP,Sim,Sim,Não,Sim
137070,Vicentinho Júnior,PL,TO,Não,Não,Sim,NA
204483,Vilson da Fetaemg,PSB,MG,Sim,Sim,Não,Não
141555,Vinicius Carvalho,REPUBLICANOS,SP,Não,NA,Sim,Sim
204478,Vinicius Farah,MDB,RJ,Sim,Não,Sim,Sim
160591,Vinicius Gurgel,PL,AP,Sim,NA,Sim,NA
204532,Vinicius Poit,NOVO,SP,Não,Não,Sim,Não
179587,Vitor Hugo,PSL,GO,Não,Não,Sim,Não
178992,Vitor Lippi,PSDB,SP,Não,Não,Sim,Não
215044,Vivi Reis,PSOL,PA,NA,NA,NA,NA
204443,Wagner Montes,REPUBLICANOS,RJ,NA,NA,NA,NA
160569,Waldenor Pereira,PT,BA,Sim,Sim,Não,Não
178952,Walter Alves,MDB,RN,Sim,Não,Sim,Sim
160518,Weliton Prado,PROS,MG,Sim,Sim,Não,Não
74043,Wellington Roberto,PL,PB,NA,NA,Sim,Sim
74044,Wilson Santiago,PTB,PB,Sim,Não,Sim,NA
204463,Wladimir Garotinho,PSD,RJ,NA,Não,Não,Sim
74439,Wolney Queiroz,PDT,PE,Sim,Sim,Não,Sim
178889,Zé Carlos,PT,MA,Sim,Sim,Não,Abstenção
204559,Zé Neto,PT,BA,Sim,Sim,Não,NA
160632,Zé Silva,SOLIDARIEDADE,MG,Não,Não,Sim,Sim
204517,Zé Vitor,PL,MG,NA,Não,Sim,Sim
160592,Zeca Dirceu,PT,PR,Sim,NA,Não,Sim
