"city","voto_obrig"
"2413508",2787
"2413557",2186
"2413607",2758
"2413706",2148
"2413805",1100
"2413904",4606
"2414001",6265
"2414100",4784
"2414159",2611
"2414209",5697
"2414308",1177
"2414407",12847
"2414456",1470
"2414506",5188
"2414605",5852
"2414704",2297
"2414753",1513
"2414803",4412
"2414902",785
"2415008",1268
"2500106",3986
"2500205",2070
"2500304",11016
"2500403",8641
"2500502",5339
"2500536",2224
"2500577",988
"2500601",8044
"2500700",8845
"2500734",1015
"2500775",3571
"2500809",6263
"2500908",4781
"2501005",6732
"2501104",10372
"2501153",793
"2501203",3000
"2501302",7356
"2501351",1591
"2501401",3573
"2501500",8508
"2501534",1927
"2501575",3467
"2501609",5444
"2501708",2633
"2501807",54727
"2501906",7223
"2502003",2740
"2502052",1188
"2502102",2673
"2502151",3426
"2502201",1113
"2502300",2338
"2502409",4625
"2502508",8042
"2502607",2593
"2502706",1985
"2502805",5792
"2502904",2962
"2503001",9399
"2503100",2572
"2503209",34208
"2503308",4393
"2503407",1664
"2503506",5845
"2503555",2072
"2503605",2948
"2503704",31872
"2503753",1192
"2503803",2278
"2503902",2378
"2504009",227562
"2504033",1876
"2504074",1949
"2504108",1048
"2504157",2337
"2504207",1872
"2504306",14417
"2504355",2193
"2504405",7731
"2504504",2920
"2504603",10368
"2504702",2090
"2504801",6376
"2504850",922
"2504900",6674
"2505006",3079
"2505105",8804
"2505204",2744
"2505238",2218
"2505279",1815
"2505303",1024
"2505352",1703
"2505402",3509
"2505501",1605
"2505600",2886
"2505709",3760
"2505808",1506
"2505907",1423
"2506004",14813
"2506103",4569
"2506202",1413
"2506251",3388
"2506301",29392
"2506400",5418
"2506509",1626
"2506608",2339
"2506707",4602
"2506806",7151
"2506905",11537
"2507002",11333
"2507101",7066
"2507200",3904
"2507309",5659
"2507408",3433
"2507507",457000
"2507606",2806
"2507705",7447
"2507804",3279
"2507903",4068
"2508000",4021
"2508109",1928
"2508208",2967
"2508307",12668
"2508406",1281
"2508505",3326
"2508554",1688
"2508604",5274
"2508703",1699
"2508802",2507
"2508901",18325
"2509008",4183
"2509057",2946
"2509107",8762
"2509156",2836
"2509206",5512
"2509305",3134
"2509339",1709
"2509370",1031
"2509396",2476
"2509404",5106
"2509503",2351
"2509602",2011
"2509701",14433
"2509800",3891
"2509909",3842
"2510006",3121
"2510105",4608
"2510204",2505
"2510303",2157
"2510402",2902
"2510501",1928
"2510600",1459
"2510659",628
"2510709",1045
"2510808",53851
"2510907",5279
"2511004",1699
"2511103",3505
"2511202",12086
"2511301",7400
"2511400",8552
"2511509",4794
"2511608",2712
"2511707",2084
"2511806",4562
"2511905",7331
"2512002",7739
"2512036",1363
"2512077",1917
"2512101",15576
"2512200",1814
"2512309",9981
"2512408",6359
"2512507",20267
"2512606",803
"2512705",7630
"2512721",1980
"2512747",1328
"2512754",1659
"2512762",1766
"2512788",806
"2512804",3502
"2512903",10677
"2513000",1506
"2513109",4353
"2513158",2426
"2513208",3093
"2513307",2612
"2513356",1459
"2513406",7656
"2513505",2037
"2513604",3023
"2513653",1163
"2513703",61693
"2513802",2074
"2513851",1282
"2513901",13682
"2513927",1847
"2513943",1190
"2513968",1144
"2513984",1505
"2514008",2236
"2514107",1742
"2514206",2690
"2514305",2367
"2514404",2023
"2514453",2106
"2514503",9023
"2514552",1797
"2514602",1522
"2514651",754
"2514701",1867
"2514800",1873
"2514909",3821
"2515005",2467
"2515104",5122
"2515203",1480
"2515302",22199
"2515401",4503
"2515500",6582
"2515609",1306
"2515708",1304
"2515807",2976
"2515906",2177
"2515930",1957
"2515971",3090
"2516003",11698
"2516102",6889
"2516151",1388
"2516201",33588
"2516300",8118
"2516409",4507
"2516508",6671
"2516607",5849
"2516706",6525
"2516755",1239
"2516805",4063
"2516904",6974
"2517001",3613
"2517100",1427
"2517209",2043
"2517407",978
"2600054",57639
"2600104",17471
"2600203",8087
"2600302",9697
"2600401",13420
"2600500",13669
"2600609",6203
"2600708",17416
"2600807",9420
"2600906",9204
"2601003",4037
"2601052",8621
"2601102",34293
"2601201",35597
"2601300",5029
"2601409",19354
"2601508",4270
"2601607",9597
"2601706",34884
"2601805",4930
"2601904",28002
"2602001",14885
"2602100",17876
"2602209",17051
"2602308",15075
"2602407",3631
"2602506",3442
"2602605",18952
"2602704",5906
"2602803",17037
"2602902",108634
"2603009",13897
"2603108",8163
"2603207",9220
"2603306",4496
"2603405",2226
"2603454",88105
"2603504",7475
"2603603",3733
"2603702",9591
"2603801",8108
"2603900",8447
"2603926",4533
"2604007",42324
"2604106",176178
"2604155",5642
"2604205",17218
"2604304",5058
"2604403",5946
"2604502",8868
"2604601",11144
"2604700",7164
"2604809",5399
"2604908",7655
"2605004",10140
"2605103",15918
"2605152",7698
"2605202",32029
"2605301",13716
"2605400",9136
"2605459",1856
"2605509",5152
"2605608",9218
"2605707",14084
"2605806",6542
"2605905",12273
"2606002",68454
"2606101",12909
"2606200",40680
"2606309",3033
"2606408",38548
"2606507",6295
"2606606",10401
"2606705",3049
"2606804",57989
"2606903",5385
"2607000",7063
"2607109",2097
"2607208",39765
"2607307",11080
"2607406",2049
"2607505",8732
"2607604",12970
"2607653",15252
"2607703",6708
"2607752",12545
"2607802",7024
"2607901",397290
"2607950",4573
"2608008",5887
"2608057",6732
"2608107",12593
"2608206",6609
"2608255",4436
"2608305",5638
"2608404",5036
"2608453",7920
"2608503",9314
"2608602",4320
"2608701",5549
"2608750",9940
"2608800",17026
"2608909",30293
"2609006",10218
"2609105",5676
"2609154",5520
"2609204",4390
"2609303",6473
"2609402",31329
"2609501",17053
"2609600",241196
"2609709",9785
"2609808",6033
"2609907",27006
"2610004",29591
"2610103",3333
"2610202",9022
"2610301",4211
"2610400",9081
"2610509",12352
"2610608",25519
"2610707",195230
"2610806",8397
"2610905",29733
"2611002",16228
"2611101",164393
"2611200",4297
"2611309",11286
"2611408",5942
"2611507",8400
"2611533",2982
"2611606",990397
"2611705",7941
"2611804",21558
"2611903",10375
"2612000",4674
"2612109",3170
"2612208",29603
"2612307",6102
"2612406",9823
"2612455",5378
"2612471",5456
"2612505",47895
"2612554",5289
"2612604",17876
"2612703",5156
"2612802",5127
"2612901",5623
"2613008",22292
"2613107",15527
"2613206",8560
"2613305",8214
"2613404",8327
"2613503",14598
"2613602",16050
"2613701",57457
"2613800",6944
"2613909",40269
"2614006",8240
"2614105",15700
"2614204",18541
"2614303",5168
"2614402",2548
"2614501",28966
"2614600",12940
"2614709",5003
"2614808",9609
"2614857",9829
"2615003",12304
"2615102",2588
"2615201",4551
"2615300",27414
"2615409",17990
"2615508",6542
"2615607",11103
"2615706",7985
"2615805",8047
"2615904",4041
"2616001",7139
"2616100",3908
"2616183",3206
"2616209",8772
"2616308",15430
"2616407",67379
"2616506",5405
"2700102",7546
"2700201",6516
"2700300",104918
"2700409",16829
"2700508",6036
"2700607",3486
"2700706",7244
"2700805",1909
"2700904",2399
"2701001",11441
"2701100",3348
"2701209",3580
"2701308",7731
"2701357",2468
"2701407",21916
"2701506",3166
"2701605",5323
"2701704",6491
"2701803",3103
"2701902",2512
"2702009",3847
"2702108",7422
"2702207",2418
"2702306",24396
"2702355",7630
"2702405",22604
"2702504",3787
"2702553",6140
"2702603",7630
"2702702",1742
"2702801",4576
"2702900",13422
"2703007",5039
"2703106",9560
"2703205",8826
"2703304",5438
"2703403",2251
"2703502",2662
"2703601",3150
"2703700",2085
"2703759",4939
"2703809",7536
"2703908",1671
"2704005",9356
"2704104",6760
"2704203",10370
"2704302",547821
"2704401",7119
"2704500",11627
"2704609",4208
"2704708",22051
"2704807",5958
"2704906",1558
"2705002",7991
"2705101",9631
"2705200",6061
"2705309",1852
"2705408",2316
"2705507",10250
"2705606",4466
"2705705",8360
"2705804",2959
"2705903",1586
"2706000",3816
"2706109",4248
"2706208",1758
"2706307",33954
"2706406",9578
"2706422",4112
"2706448",5131
"2706505",5487
"2706604",3083
"2706703",28143
"2706802",7026
"2706901",15252
"2707008",1054
"2707107",8713
"2707206",4929
"2707305",10622
"2707404",3316
"2707503",7520
"2707602",4676
"2707701",35342
"2707800",2187
"2707909",3151
"2708006",18687
"2708105",3819
"2708204",2542
"2708303",8848
"2708402",9728
"2708501",11848
"2708600",26880
"2708709",3087
"2708808",11993
"2708907",7648
"2708956",4278
"2709004",2302
