,fala_id,candidato,tema,ordem,tipo,Num. sílabas,Num. pausas,Duração,Tempo de fala,Ritmo de fala,Ritmo de articulação,intensity mean,intensity quant,pitch mean,pitch var fala,pitch var sil
35,135_boulos_consideracoes_r,Boulos,consideracoes,135,resposta,157,23,45.75533333333333,30.01600000000001,3.431293983943584,5.230543710021321,72.58283061458712,74.50118167823277,141.11893839543794,31.830684888802065,11.539545304724074
36,102_russomano_etica_r,Russomano,etica,102,resposta,207,17,49.851333333333336,37.008,4.152346309694157,5.593385214007782,70.66374612976091,73.74812631588063,203.4693388741106,62.17917469464591,18.3366939363525
37,40_boulos_feminicidio_p,Boulos,feminicidio,40,pergunta,149,10,34.15,26.896,4.363103953147877,5.539857227840571,68.21638466618374,70.95765405436778,135.3261883231394,34.1620273980499,14.952215687253428
38,76_russomano_auxilio_r,Russomano,auxilio,76,resposta,116,17,34.15,23.762999999999995,3.396778916544656,4.881538526280353,68.01469182422038,70.41276849031213,133.71869078303894,58.22530578589267,11.865072794777573
39,27_marina_sustentabilidade_r,Marina,sustentabilidade,27,resposta,183,5,36.198,32.111999999999995,5.055527929719874,5.698804185351271,65.70513468963978,67.59141065993181,250.00405004215725,33.32921115859666,25.925661003410834
40,45_joice_aliancas_r,Joice,aliancas,45,resposta,258,7,47.803333333333335,44.13366666666668,5.397113172024266,5.845877296999266,68.15251154210361,70.2776325989216,272.80992015770465,59.77880345379922,28.249493126312412
41,15_covas_cultura_r,Covas,cultura,15,resposta,146,9,34.83266666666667,29.360000000000007,4.191467779287642,4.972752043596729,63.31313915273799,65.7869556393026,120.10537043151018,52.537742158800285,10.293718933060417
42,19_russomano_corrupcao_r,Russomano,corrupcao,19,resposta,135,8,32.102,26.579,4.205345461341973,5.079197862974529,64.55948274781625,66.4412956528107,153.7250919396527,68.50875215637859,15.90990854504351
43,10_sabara_emprego_r,Sabara,emprego,10,resposta,230,17,49.16866666666667,40.815999999999995,4.677775819288707,5.635045080360643,65.1849704903711,66.83981832877154,129.5145593853115,35.64011244286366,11.829530822736148
44,100_russomano_aliancas_r,Russomano,aliancas,100,resposta,159,8,34.83266666666667,28.448333333333338,4.564680663744761,5.589079618020973,71.60939288363396,74.15068082072438,205.91613794813682,47.215967068459506,18.819033292194447
45,120_boulos_si-proprio-moradia_r,Boulos,si proprio moradia,120,resposta,152,12,36.198,29.136000000000003,4.199127023592464,5.2169137836353645,71.65977709723347,73.50787287610993,146.23827577833347,25.39844546951163,14.139700785103393
46,118_boulos_setor-privado_r,Boulos,setor privado,118,resposta,226,14,48.486,39.85600000000001,4.661139297941674,5.67041348855881,71.2712325687147,73.65952082166466,164.63942365620767,45.47507898796544,18.260526575233918
47,37_russomano_saude_r,Russomano,saude,37,resposta,204,23,53.26466666666666,39.61633333333334,3.8299310362091195,5.149391244352077,68.17310866428433,70.579168593349,148.8790306366725,84.22119124920195,14.355507833660242
48,85_marina_enchentes_r,Marina,enchentes,85,resposta,174,10,33.467333333333336,28.85366666666667,5.199099619529491,6.030429408163029,68.71323982539805,70.79938575553872,266.6197101780808,39.98778311570387,24.972043620521855
49,2_tatto_cracolandia_r,Tatto,cracolandia,2,resposta,183,22,47.120666666666665,33.616000000000014,3.883646241564211,5.443836268443596,64.6675653237551,66.84594776836471,145.10794812262623,29.527396089665555,11.52699891329569
50,64_tatto_transporte_r,Tatto,transporte,64,resposta,164,6,37.56333333333333,32.83200000000001,4.36595971248558,4.99512670565302,68.27409713351611,70.81676420057015,149.72901021405715,25.802265028859406,13.386945231967047
51,136_arthur_consideracoes_r,Arthur,consideracoes,136,resposta,285,3,53.26466666666666,50.592,5.350638947645093,5.633301707779887,72.51962108794105,75.1326984005208,180.410751566806,40.236929649321716,23.27457037786185
52,65_franca_urbanizacao_r,Franca,urbanizacao,65,resposta,232,9,49.16866666666667,43.632,4.718452130760783,5.317198386505318,67.01191495226698,69.80276127321952,142.39529886659756,34.75558223596023,13.91841962499508
53,103_boulos_etica_p,Boulos,etica,103,pergunta,157,10,33.467333333333336,27.744000000000003,4.691141610724886,5.658881199538638,70.82395204258587,72.97746873041511,145.2265730559074,29.180341480480912,13.923346918435687
54,141_covas_consideracoes_r,Covas,consideracoes,141,resposta,160,16,47.120666666666665,37.42433333333333,3.39553769754248,4.275293258396943,71.480225036481,74.58668341392661,115.11895834802432,40.669401267175715,8.001155104094963
55,138_franca_consideracoes_r,Franca,consideracoes,138,resposta,182,19,46.438,35.666999999999994,3.919204100090443,5.102756049008889,71.42044478522368,74.18329580355139,149.38328498777497,35.9818398452824,15.35935234177126
56,115_franca_educacao_p,Franca,educacao,115,pergunta,147,11,36.88066666666667,29.984,3.985828166519043,4.902614727854855,70.53515143129871,73.86796101371019,156.0757002409229,24.87598751190245,14.037403647484966
57,11_marina_apresentacao_r,Marina,apresentacao,11,resposta,215,13,45.75533333333333,37.68000000000001,4.6989057741902585,5.705944798301485,65.03391110336719,67.04669457282779,254.22616906673244,40.37657038367059,25.03989522852754
58,80_orlando_privatizacoes_r,Orlando,privatizacoes,80,resposta,259,11,50.534,44.35499999999999,5.125262199707128,5.839251493630933,69.24634681565706,71.71952112697292,180.21684580423076,51.86689613346401,23.26211433271292
59,58_covas_educacao_r,Covas,educacao,58,resposta,143,5,34.15,30.352000000000007,4.187408491947291,4.711386399578281,66.89873259600432,69.22839097023454,123.78280779705366,43.58639465782111,8.809370369787374
60,12_andrea_transporte_p,Andrea,transporte,12,pergunta,141,7,32.102,26.112,4.392249704068282,5.399816176470589,64.4837409574459,66.41840631277351,140.35201119310224,39.71201719312875,15.99084211634554
61,4_andrea_cracolandia_r,Andrea,cracolandia,4,resposta,202,10,47.120666666666665,41.903999999999996,4.286866343147381,4.820542191676212,64.13868834623072,66.40381655184386,132.55046371868045,45.16104410685295,14.485124865391175
62,91_marina_desigualdade_p,Marina,desigualdade,91,pergunta,137,13,34.83266666666667,26.512333333333338,3.933089628509636,5.16740636433358,69.47801019876927,72.78205964977312,263.22939993063846,37.75061885433111,23.114275390708016
63,13_covas_transporte_r,Covas,transporte,13,resposta,201,9,49.16866666666667,42.704,4.087969302943609,4.706819033345822,63.45212138553659,65.83411249411911,110.40581919141096,16.920473789926,8.492553946611988
64,48_russomano_auxilio_p,Russomano,auxilio,48,pergunta,98,7,27.323333333333334,19.055999999999997,3.5866780529462,5.142737195633922,67.95230353041657,69.72055781917979,141.68059314696677,77.23046974063386,10.94085325817189
65,36_covas_saude_p,Covas,saude,36,pergunta,135,6,33.467333333333336,30.40000000000001,4.033784187565985,4.440789473684209,66.0481456286796,68.82645056928315,109.81028817279478,22.916764414911242,7.035265826825065
66,134_sabara_consideracoes_r,Sabara,consideracoes,134,resposta,217,15,45.07266666666667,38.352333333333334,4.814447780620923,5.6580651329341105,71.83597924901065,74.27671386317232,147.81745862416213,31.27141798018967,15.385350385395157
67,119_sabara_setor-privado_p,Sabara,setor privado,119,pergunta,160,5,32.102,28.432000000000006,4.984113139368264,5.6274620146314005,70.6804201828438,73.01379514708353,142.29193662795257,30.120429243253792,18.601515927478026
68,34_arthur_aliancas_p,Arthur,aliancas,34,pergunta,168,1,31.419333333333334,29.695999999999998,5.347026247108999,5.657327586206897,68.03532779547679,70.19819855136886,134.08423901135788,46.60402482997955,14.102867425126506
69,25_marina_sustentabilidade_r,Marina,sustentabilidade,25,resposta,253,14,50.534,43.11999999999999,5.00653025685677,5.867346938775512,65.2040719460928,67.11022673085284,251.78880296641225,44.77579385039176,21.41491217608804
70,29_andrea_comercio_r,Andrea,comercio,29,resposta,238,5,49.851333333333336,46.176000000000016,4.774195273947871,5.154192654192652,67.06727557771949,69.69450574229722,131.62995528619405,48.46561218833133,13.05279613265839
71,142_tatto_consideracoes_r,Tatto,consideracoes,142,resposta,190,22,49.16866666666667,34.43233333333332,3.8642495898471925,5.518069256609585,72.62696676401546,75.03366569620061,153.39547124983528,25.91911309122216,13.715518619083936
72,110_franca_transporte_r,Franca,transporte,110,resposta,187,16,45.75533333333333,35.92,4.086955254760829,5.206013363028953,70.47192889742709,73.24179292685378,146.80532731799786,42.69815145291941,13.158944929692266
73,94_franca_si-mesmo_r,Franca,si mesmo,94,resposta,185,13,45.75533333333333,38.06400000000002,4.043244503373013,4.8602353930222755,69.11309394592439,72.07735754955966,141.73496774993052,39.743228942909056,13.621333601168764
74,51_andrea_economia_r,Andrea,economia,51,resposta,149,5,34.15,29.952000000000005,4.363103953147877,4.974626068376067,67.50028366041734,69.97709409931213,135.8164779002931,39.486177817832186,15.562775195782736
75,95_russomano_si-mesmo_p,Russomano,si mesmo,95,pergunta,110,17,35.51533333333333,25.62166666666666,3.097253768325418,4.293241397254929,70.55486798242312,73.42647470885424,156.64019835018325,24.84528984279006,12.20029480865149
