,fala_id,candidato,tema,Num. sílabas,Num. pausas,Duração,Tempo de fala,Ritmo de fala,Ritmo de articulação,intensity mean,intensity quant,pitch mean,pitch var fala,pitch var sil
51,russomano_0.wav,Russomano,sem tema,96,13,28.0,19.088000000000005,3.4285714285714284,5.0293378038558245,73.00165096913945,74.99797221023881,159.4251591016339,73.37794240106271,14.135558743847923
10,russomano_21.wav,Russomano,sem tema,239,31,65.31233333333333,47.60016666666667,3.6593394815680553,5.020990822861265,73.03760785467902,76.02191235986544,136.26967288074732,32.913731184514575,13.353460427158728
31,russomano_15.wav,Russomano,sem tema,47,3,12.208208333333333,9.312104166666668,3.849868769987406,5.047194399761958,73.04112335292696,75.73708202342537,168.30724019081055,82.0721564392426,14.162615104353563
48,russomano_2.wav,Russomano,sem tema,60,4,15.833479166666667,12.041479166666665,3.7894387814849075,4.982776548423765,73.86550537269154,76.46790062982768,136.29333197863653,79.78282405590168,11.905925759815226
32,russomano_11.wav,Russomano,sem tema,78,3,16.1796875,14.577843749999996,4.820859488169966,5.350585541843253,72.5685537767901,75.53903905470696,139.50218110124848,65.02660577995,10.886397256508447
16,russomano_18.wav,Russomano,sem tema,56,6,15.9439375,11.039999999999994,3.5123067937264554,5.072463768115945,73.50087760714216,75.65490504669096,142.1973701693456,45.85453863652478,21.35977962929809
43,russomano_3.wav,Russomano,sem tema,161,10,37.25,32.20900000000001,4.322147651006712,4.998602874972832,73.67151677740614,75.69530347069511,136.55360526733372,54.98146545290721,13.852379293290827
42,russomano_13.wav,Russomano,sem tema,128,11,30.720229166666666,25.407999999999994,4.166635584180077,5.037783375314863,72.92016301229543,75.21464735741054,140.2348738121132,64.25573990249866,13.32008411464488
15,russomano_20.wav,Russomano,sem tema,189,20,53.53554166666667,40.90377083333334,3.5303649522552387,4.620600892032671,73.0379360878247,75.32180618463686,132.5681117747063,45.946723939764695,11.121042446750206
38,russomano_12.wav,Russomano,sem tema,40,7,11.7294375,7.616718750000001,3.410223209766027,5.251605226988326,73.65269186609348,75.8950468633523,134.8638132072947,25.51463114736643,13.068123666946441
67,russomano_7.wav,Russomano,sem tema,159,12,38.833333333333336,31.760666666666662,4.094420600858369,5.006192145420962,75.18303593674207,77.53051402089875,166.36252247748854,32.37613418205498,16.425918609238067
