pip_dk;pip_dscr;nucleo;familia;area_atuacao;ano;mes;vista;novos;denuncias;arquivamentos;baixas;inst_pic;acordo_npp_oferecido;acordo_npp_firmado;med_caut
29926583;1ª PIP - Botafogo/Copacabana;Rio de Janeiro;Territorial;Botafogo/Copacabana;2016;4;1223;107;36;119;583;0;0;0;3
29926583;1ª PIP - Botafogo/Copacabana;Rio de Janeiro;Territorial;Botafogo/Copacabana;2016;5;1782;83;85;144;1023;0;0;0;1
29926583;1ª PIP - Botafogo/Copacabana;Rio de Janeiro;Territorial;Botafogo/Copacabana;2016;6;408;66;79;772;167;0;0;0;1
29926583;1ª PIP - Botafogo/Copacabana;Rio de Janeiro;Territorial;Botafogo/Copacabana;2016;7;799;112;51;240;426;0;0;0;2
29926583;1ª PIP - Botafogo/Copacabana;Rio de Janeiro;Territorial;Botafogo/Copacabana;2016;8;1286;72;72;42;1179;0;0;0;0
29926583;1ª PIP - Botafogo/Copacabana;Rio de Janeiro;Territorial;Botafogo/Copacabana;2016;9;589;100;19;33;404;0;0;0;4
29926583;1ª PIP - Botafogo/Copacabana;Rio de Janeiro;Territorial;Botafogo/Copacabana;2016;10;381;100;32;29;301;1;0;0;1
29926583;1ª PIP - Botafogo/Copacabana;Rio de Janeiro;Territorial;Botafogo/Copacabana;2016;11;1519;84;13;21;1407;0;0;0;2
29926583;1ª PIP - Botafogo/Copacabana;Rio de Janeiro;Territorial;Botafogo/Copacabana;2016;12;523;137;4;1;473;0;0;0;1
29926583;1ª PIP - Botafogo/Copacabana;Rio de Janeiro;Territorial;Botafogo/Copacabana;2017;1;420;65;23;51;318;0;0;0;1
29926583;1ª PIP - Botafogo/Copacabana;Rio de Janeiro;Territorial;Botafogo/Copacabana;2017;2;997;126;37;52;805;0;0;0;6
29926583;1ª PIP - Botafogo/Copacabana;Rio de Janeiro;Territorial;Botafogo/Copacabana;2017;3;1408;138;32;73;1193;0;0;0;5
29926583;1ª PIP - Botafogo/Copacabana;Rio de Janeiro;Territorial;Botafogo/Copacabana;2017;4;976;69;17;56;843;0;0;0;4
29926583;1ª PIP - Botafogo/Copacabana;Rio de Janeiro;Territorial;Botafogo/Copacabana;2017;5;642;157;30;53;470;0;0;0;1
29926583;1ª PIP - Botafogo/Copacabana;Rio de Janeiro;Territorial;Botafogo/Copacabana;2017;6;471;79;29;35;314;0;0;0;2
29926583;1ª PIP - Botafogo/Copacabana;Rio de Janeiro;Territorial;Botafogo/Copacabana;2017;7;1023;125;33;41;819;0;0;0;2
29926583;1ª PIP - Botafogo/Copacabana;Rio de Janeiro;Territorial;Botafogo/Copacabana;2017;8;1528;160;44;87;1332;0;0;0;4
29926583;1ª PIP - Botafogo/Copacabana;Rio de Janeiro;Territorial;Botafogo/Copacabana;2017;9;473;74;30;36;361;0;0;0;2
