"nivel";"ano";"codigo_assunto";"nome_assunto";"dispositivo_legal_assunto";"denuncias";"tempo_mediano"
"Estado";2020;8402;"Dano (art.163)";"Art. 163, caput, CP.";4;166,5
"Estado";2020;8412;"Apropriação indébita (art. 168, caput)";"Art. 168, CP.";4;1077
"Estado";2020;8610;"Da Poluição";"Arts. 54 a 61, Lei Federal nº 9605/98.";4;233
"Estado";2020;8622;"Lesão corporal culposa na direção de veículo automotor";"Art. 303, Lei Federal nº 9503/97. ";4;647
"Estado";2020;8635;"Porte Ilegal de Arma de Fogo de Uso Permitido ";"Art. 14, Lei Federal nº 10.826/03.";4;53,5
"Estado";2020;9084;"Arregimentação de Eleitor ou Boca de Urna";"Art. 39, § 5º, inc. II, Lei Federal nº 9.504/97.";4;439,5
"Estado";2020;9446;"Perigo de contágio de moléstia grave";"Art. 131, CP.";4;112,5
"Estado";2020;9483;"Esbulho possessório";"Art. 161,§§1º, inc. II, 2º e 3º, CP e  art 9, Lei Federal n. 5.741/71";4;201,5
"Estado";2020;9506;"Disposição de coisa alheia como própria";"Art. 171, § 2º, I, CP.";4;33
"Estado";2020;9593;"Atentado contra a segurança de transporte público";"Arts. 261 a 263, CP.";4;64
"Estado";2020;9617;"Apologia de Crime ou Criminoso";"Art. 287, CP.";4;358
"Estado";2020;9716;"Crime contra a administração ambiental";"Art. 66 a 69, Lei Federal nº 9605/98.";4;11
"Estado";2020;9764;"Vender, fornecer, ainda que gratuitamente, ou entregar a criança ou a adolescente fogos de estampido ou de artifício";"Art. 244, Lei Federal nº 8069/90 (ECA)";4;28,5
"Estado";2020;9781;"Crimes Eleitorais";"Arts. 289 a 354, Lei Federal nº 4737/65 (Código Eleitoral).";4;158
"Estado";2020;9820;"Corrupção ativa";"Art. 309, Código Penal Militar (Dec. Lei 1001/69).";4;55
"Estado";2020;9825;"Homicídio qualificado";"Art. 205, § 2°, Código Penal Militar (Dec. Lei 1001/69).";4;56,5
"Estado";2020;9836;"Crimes contra portadores de deficiência";"Art. 8º, Lei Federal nº 7853/89";4;300,5
"Estado";2020;9861;"Lavagem ou Ocultação de Bens, Direitos ou Valores Oriundos de Corrupção";"Art. 1º, Lei Federal nº 9.613/98.";4;354
"Estado";2020;9873;"Exercício arbitrário das próprias razões";"Art. 345, CP.";4;45,5
"Estado";2020;9909;"Estado de Necessidade ";"Art. 24, CP.";4;36,5
"Estado";2020;9978;"Exercício funcional ilegal";"Art. 329, CPM.";4;12
"Estado";2020;10175;"Extorsão mediante sequestro";"Art. 244, CPM.";3;134
