UF,Município,IFGF,Autonomia,Gastos com Pessoal,Liquidez ,Investimentos
RS,Nova Bassano,0.7459,1,1,0.4483,0.5355
PR,Salgado Filho,0.7456,0.2764,0.9078,0.7984,1
SP,Ibaté,0.7453,1,0.6746,0.6577,0.6491
SC,Porto União,0.7452,1,0.405,1,0.5758
PR,Jesuítas,0.7447,1,0.3109,0.6925,0.9754
SP,Aguaí,0.7444,1,0.7438,0.6901,0.5437
SP,Patrocínio Paulista,0.7442,1,0.9895,0.7424,0.2449
PR,Pinhais,0.7441,1,0.6344,0.7893,0.5526
CE,Aquiraz,0.7436,1,0.3303,0.865,0.7792
PR,Planaltina do Paraná,0.7435,0.5943,0.8708,0.8633,0.6454
PR,Jandaia do Sul,0.7434,1,0.4601,1,0.5135
RS,Encantado,0.7432,1,1,0,0.9728
SP,Mogi das Cruzes,0.7432,1,1,0.46,0.5128
SP,Poá,0.7426,1,0.9773,0.6821,0.3111
BA,Brumado,0.7425,0.789,0.3564,0.8246,1
CE,Araripe,0.7425,0,1,1,0.9699
RS,Seberi,0.7423,0.8284,0.6831,1,0.4578
SC,Lages,0.7422,1,0.8803,0.6337,0.455
PA,São João da Ponta,0.7414,0.0988,0.8668,1,1
PR,Colorado,0.7409,1,0.8154,0.6382,0.51
RS,Camargo,0.7404,0.841,0.8891,0.5787,0.6526
RS,Jóia,0.7395,1,0.5632,1,0.3949
SP,Monte Mor,0.7395,1,1,0.8093,0.1486
RS,Viadutos,0.7393,0.489,1,0.8867,0.5816
MT,Paranaíta,0.7392,0.5324,1,0.7121,0.7122
RS,Caseiros,0.7392,0.5069,0.7052,1,0.7446
GO,Inhumas,0.7391,0.9457,0.6214,1,0.3894
RS,Almirante Tamandaré do Sul,0.7391,0.6995,0.941,0.8596,0.4562
ES,Vila Velha,0.7382,1,0.8067,0.7448,0.4012
MS,Nova Alvorada do Sul,0.7381,0.8519,0.7253,0.9654,0.41
PR,Cruzmaltina,0.7381,0.4982,0.5557,0.8984,1
RS,Carlos Barbosa,0.7379,1,1,0.598,0.3537
PR,Prudentópolis,0.7378,1,0.5588,0.6118,0.7806
RS,São José dos Ausentes,0.7375,0.6428,0.8852,0.74,0.6821
MG,Rio Paranaíba,0.7372,1,0.6631,0.8587,0.4271
MG,Ponte Nova,0.7372,0.9232,0.7881,0.9529,0.2846
SP,São Paulo,0.7371,1,1,0.6596,0.2888
SC,Itapiranga,0.737,1,0.6899,0.6375,0.6204
PR,Diamante D'Oeste,0.7369,0.6578,0.5492,0.7405,1
